Date : 2025-06-15 11:51:05
Directory : /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform
Total : 138 files,  15603 codes, 2203 comments, 4037 blanks, all 21843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         79 |      6,826 |      1,856 |      1,491 |     10,173 |
| TypeScript JSX     |         26 |      4,940 |        259 |        464 |      5,663 |
| Markdown           |         15 |      1,791 |         19 |        726 |      2,536 |
| JSON with Comments |          2 |      1,422 |         32 |      1,329 |      2,783 |
| JSON               |          4 |        314 |          0 |          4 |        318 |
| YAML               |          3 |        179 |          2 |          8 |        189 |
| JavaScript         |          6 |        102 |         30 |          8 |        140 |
| PostCSS            |          2 |         26 |          2 |          5 |         33 |
| TOML               |          1 |          3 |          3 |          2 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        138 |     15,603 |      2,203 |      4,037 |     21,843 |
| . (Files)                                                                                                                      |         18 |      2,044 |        123 |      1,418 |      3,585 |
| .github                                                                                                                        |          3 |        179 |          2 |          8 |        189 |
| .github/ISSUE_TEMPLATE                                                                                                         |          2 |         84 |          2 |          2 |         88 |
| .github/workflows                                                                                                              |          1 |         95 |          0 |          6 |        101 |
| docs                                                                                                                           |         14 |      1,673 |          0 |        674 |      2,347 |
| docs (Files)                                                                                                                   |          5 |      1,111 |          0 |        386 |      1,497 |
| docs/adr                                                                                                                       |          9 |        562 |          0 |        288 |        850 |
| scripts                                                                                                                        |          3 |        239 |         32 |         47 |        318 |
| src                                                                                                                            |         92 |     10,394 |      1,965 |      1,624 |     13,983 |
| src/app                                                                                                                        |         30 |      3,782 |        387 |        456 |      4,625 |
| src/app (Files)                                                                                                                |          3 |        293 |         13 |         23 |        329 |
| src/app/api                                                                                                                    |         15 |      1,023 |        280 |        224 |      1,527 |
| src/app/api/donor                                                                                                              |          1 |        105 |         22 |         22 |        149 |
| src/app/api/donor/stats                                                                                                        |          1 |        105 |         22 |         22 |        149 |
| src/app/api/github                                                                                                             |          4 |        215 |         95 |         34 |        344 |
| src/app/api/github/app                                                                                                         |          1 |         32 |          1 |          4 |         37 |
| src/app/api/github/installations                                                                                               |          2 |        133 |         90 |         21 |        244 |
| src/app/api/github/installations (Files)                                                                                       |          1 |         45 |         81 |          8 |        134 |
| src/app/api/github/installations/callback                                                                                      |          1 |         88 |          9 |         13 |        110 |
| src/app/api/github/repositories                                                                                                |          1 |         50 |          4 |          9 |         63 |
| src/app/api/maintainer                                                                                                         |          1 |         85 |         17 |         20 |        122 |
| src/app/api/maintainer/stats                                                                                                   |          1 |         85 |         17 |         20 |        122 |
| src/app/api/management                                                                                                         |          2 |        211 |         68 |         52 |        331 |
| src/app/api/management/projects                                                                                                |          2 |        211 |         68 |         52 |        331 |
| src/app/api/management/projects (Files)                                                                                        |          1 |         74 |         10 |         19 |        103 |
| src/app/api/management/projects/[id]                                                                                           |          1 |        137 |         58 |         33 |        228 |
| src/app/api/projects                                                                                                           |          2 |         52 |         11 |         17 |         80 |
| src/app/api/projects (Files)                                                                                                   |          1 |         30 |          6 |          8 |         44 |
| src/app/api/projects/[id]                                                                                                      |          1 |         22 |          5 |          9 |         36 |
| src/app/api/xaman                                                                                                              |          5 |        355 |         67 |         79 |        501 |
| src/app/api/xaman/callback                                                                                                     |          1 |        150 |         31 |         27 |        208 |
| src/app/api/xaman/donations                                                                                                    |          2 |         80 |         12 |         20 |        112 |
| src/app/api/xaman/donations/[requestId]                                                                                        |          1 |         33 |          6 |         10 |         49 |
| src/app/api/xaman/donations/create                                                                                             |          1 |         47 |          6 |         10 |         63 |
| src/app/api/xaman/wallets                                                                                                      |          2 |        125 |         24 |         32 |        181 |
| src/app/api/xaman/wallets (Files)                                                                                              |          1 |         50 |         12 |         15 |         77 |
| src/app/api/xaman/wallets/link-status                                                                                          |          1 |         75 |         12 |         17 |        104 |
| src/app/donor                                                                                                                  |          4 |        941 |         47 |         74 |      1,062 |
| src/app/donor (Files)                                                                                                          |          2 |        294 |          9 |         16 |        319 |
| src/app/donor/projects                                                                                                         |          2 |        647 |         38 |         58 |        743 |
| src/app/donor/projects (Files)                                                                                                 |          1 |        230 |         13 |         20 |        263 |
| src/app/donor/projects/[id]                                                                                                    |          1 |        417 |         25 |         38 |        480 |
| src/app/maintainer                                                                                                             |          6 |        982 |         26 |         93 |      1,101 |
| src/app/maintainer (Files)                                                                                                     |          2 |        263 |          8 |         19 |        290 |
| src/app/maintainer/projects                                                                                                    |          4 |        719 |         18 |         74 |        811 |
| src/app/maintainer/projects (Files)                                                                                            |          1 |        227 |          4 |         22 |        253 |
| src/app/maintainer/projects/[id]                                                                                               |          2 |        406 |          9 |         40 |        455 |
| src/app/maintainer/projects/[id] (Files)                                                                                       |          1 |        297 |          7 |         25 |        329 |
| src/app/maintainer/projects/[id]/edit                                                                                          |          1 |        109 |          2 |         15 |        126 |
| src/app/maintainer/projects/new                                                                                                |          1 |         86 |          5 |         12 |        103 |
| src/app/mode-select                                                                                                            |          1 |        296 |          8 |         20 |        324 |
| src/app/wallet-required                                                                                                        |          1 |        247 |         13 |         22 |        282 |
| src/components                                                                                                                 |         10 |      1,976 |        131 |        197 |      2,304 |
| src/components (Files)                                                                                                         |          8 |      1,135 |         74 |        117 |      1,326 |
| src/components/forms                                                                                                           |          2 |        841 |         57 |         80 |        978 |
| src/hooks                                                                                                                      |          6 |        626 |         53 |        101 |        780 |
| src/lib                                                                                                                        |         23 |      1,665 |        692 |        396 |      2,753 |
| src/lib (Files)                                                                                                                |          2 |         90 |         27 |         25 |        142 |
| src/lib/firebase                                                                                                               |          6 |        363 |        196 |         65 |        624 |
| src/lib/github                                                                                                                 |          2 |        198 |         21 |         39 |        258 |
| src/lib/pricing                                                                                                                |          4 |        450 |        214 |        117 |        781 |
| src/lib/xaman                                                                                                                  |          4 |         92 |         41 |         25 |        158 |
| src/lib/xrpl                                                                                                                   |          5 |        472 |        193 |        125 |        790 |
| src/services                                                                                                                   |         10 |      1,913 |        529 |        380 |      2,822 |
| src/services (Files)                                                                                                           |          5 |        997 |        309 |        199 |      1,505 |
| src/services/donation                                                                                                          |          3 |        570 |        137 |        114 |        821 |
| src/services/shared                                                                                                            |          2 |        346 |         83 |         67 |        496 |
| src/types                                                                                                                      |          8 |        314 |        111 |         55 |        480 |
| src/validations                                                                                                                |          5 |        118 |         62 |         39 |        219 |
| tests                                                                                                                          |          8 |      1,074 |         81 |        266 |      1,421 |
| tests (Files)                                                                                                                  |          6 |        930 |         51 |        238 |      1,219 |
| tests/helpers                                                                                                                  |          2 |        144 |         30 |         28 |        202 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/.github/ISSUE_TEMPLATE/bug.yml                             | YAML               |         40 |          1 |          1 |         42 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/.github/ISSUE_TEMPLATE/feature.yml                         | YAML               |         44 |          1 |          1 |         46 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/.github/workflows/ci.yml                                   | YAML               |         95 |          0 |          6 |        101 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/.markdownlint.json                                         | JSON               |          4 |          0 |          1 |          5 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/README.md                                                  | Markdown           |        118 |         19 |         52 |        189 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/bun.lock                                                   | JSON with Comments |      1,386 |          0 |      1,328 |      2,714 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/bunfig.toml                                                | TOML               |          3 |          3 |          2 |          8 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/commitlint.config.js                                       | JavaScript         |         23 |          2 |          1 |         26 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/Architecture.md                                       | Markdown           |        364 |          0 |        106 |        470 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/MVP.md                                                | Markdown           |         99 |          0 |         35 |        134 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/Specification.md                                      | Markdown           |        142 |          0 |         64 |        206 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/adr/Approved-20250524-01-FirebaseAuthとGitHub連携について.md | Markdown           |         37 |          0 |         20 |         57 |
| /Users/nrhrhysd616/Documents/Project/nrhrhysd616/oss-token-platform/docs/adr/Approved-20250527-01-ライセンス発行機能について.md             | Markdown           |         38 |          0 |         28 |         66 |
